name,isDirect,isFixed
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.framework,true,true
org.caffinitas.ohc:ohc-core,true,false
org.apache.flink:flink-runtime_2.11,true,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile,false,false
io.zipkin.brave:brave-instrumentation-jms,true,false
org.apereo.cas:cas-server-core-api-configuration-model,true,true
org.apache.flink:flink-hadoop-fs,true,false
org.elasticsearch.plugin:transport-netty3-client,true,false
org.apereo.cas:cas-server-core-util-api,true,true
io.zipkin.brave:brave-instrumentation-messaging,true,false
org.apereo.cas:cas-server-core-api-validation,true,true
io.zipkin.brave:brave-instrumentation-rpc,true,false
org.apereo.cas:cas-server-core-api-configuration,true,true
org.apereo.cas:cas-server-core-configuration-api,true,true
org.apereo.cas:cas-server-core-api-logout,true,true
org.apache.hive:hive-llap-common,false,false
org.apache.camel:camel-http4,true,false
org.apereo.cas:cas-server-core-api,true,true
org.apereo.cas:cas-server-core-api-events,true,true
org.apache.flink:flink-streaming-java_2.11,true,true
org.apache.hive:hive-llap-client,false,false
org.apereo.cas:cas-server-core-api-mfa,true,true
org.apache.camel:camel-servlet,true,true
org.apache.flink:flink-clients_2.11,true,false
io.zipkin.brave:brave-instrumentation-kafka-streams,true,false
org.infinispan:infinispan-cachestore-jdbc,true,false
org.infinispan:infinispan-query-dsl,true,false
org.apache.camel.kafkaconnector:camel-kafka-connector,true,false
org.apereo.cas:cas-server-core-authentication-api,true,true
org.apereo.cas:cas-server-core-api-audit,true,true
org.apereo.cas:cas-server-core-authentication-mfa-api,true,true
org.apereo.cas:cas-server-core-web-api,true,true
org.apereo.cas:cas-server-core-authentication-attributes,true,true
org.apereo.cas:cas-server-core-services-api,true,true
org.apache.camel:camel-core-osgi,true,true
org.apache.flink:flink-optimizer_2.11,true,false
io.zipkin.brave:brave-context-slf4j,true,false
org.scalanlp:breeze_2.10,true,false
org.apereo.cas:cas-server-core-services,true,true
org.apereo.cas:cas-server-core-services-authentication,true,true
org.apache.camel:camel-allcomponents,false,false
org.rrd4j:rrd4j,true,false
org.apereo.cas:cas-server-core-services-registry,true,true
ch.epfl.scala:bsp4j,false,true
org.apereo.cas:cas-server-core-util,true,true
io.zipkin.brave:brave-context-log4j2,true,false
org.infinispan:infinispan-cachestore-remote,true,false
net.sf.jasperreports:jasperreports,true,false
org.apereo.cas:cas-server-core-tickets-api,true,true
org.apache.hbase:hbase-replication,true,true
org.pf4j:pf4j,true,false
org.apache.camel:camel-blueprint,true,true
org.apache.hbase:hbase-http,true,true
org.apache.flink:flink-queryable-state-client-java,true,true
org.ops4j.pax.web:pax-web-api,false,false
org.wso2.carbon.analytics-common:org.wso2.carbon.databridge.agent,true,true
org.springframework.integration:spring-integration-test-support,true,false
org.mule:mule-core,true,false
org.apereo.cas:cas-server-core-api-test-category,true,false
org.infinispan:infinispan-remote-query-client,true,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.functions.library.mgt,true,false
org.apache.struts:struts2-core,true,true
com.atomikos:atomikos-util,true,false
org.scalanlp:breeze_2.12,true,false
org.apache.hive:hive-llap-tez,false,false
org.mule.tests:mule-tests-functional,false,false
org.apereo.cas:cas-server-core-authentication-mfa,true,true
com.hazelcast:hazelcast-client,true,false
org.apache.camel:camel-cxf,true,true
org.apereo.cas:cas-server-core-web,true,true
org.apereo.cas:cas-server-core-configuration,true,true
org.apache.camel:camel-jsonpath,true,true
org.apache.jena:jena-rdfconnection,false,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.role.mgt.core,true,false
org.apache.jena:jena-dboe-base,false,false
org.apache.jena:jena-dboe-index,false,false
org.apache.pulsar:pulsar-client-api,false,false
org.apache.jena:jena-dboe-transaction,false,false
org.apache.jena:jena-dboe-trans-data,false,false
io.searchbox:jest-common,true,true
io.searchbox:jest,true,false
org.apache.camel:camel-cdi,true,true
org.apereo.cas:cas-server-core-authentication,true,true
org.jadira.usertype:usertype.spi,true,false
org.apache.hbase:hbase-zookeeper,true,true
com.github.samtools:htsjdk,false,true
org.apereo.cas:cas-server-core-webflow-api,true,true
org.apache.jena:jena-tdb2,false,false
org.wso2.carbon.identity.framework:org.wso2.carbon.directory.server.manager,false,true
org.apereo.cas:cas-server-core-api-throttle,true,true
org.mule.modules:mule-module-xml,false,false
org.apache.hbase:hbase-testing-util,true,true
org.apache.camel:camel-cxf-transport,true,true
org.wildfly.camel:wildfly-camel-feature-pack,false,false
org.apereo.cas:cas-server-core-cookie-api,true,true
org.apache.chemistry.opencmis:chemistry-opencmis-commons-impl,true,false
org.apache.qpid:qpid-jms-client,false,false
org.apereo.cas:cas-server-core-authentication-throttle,true,true
com.hazelcast:hazelcast-all,true,false
org.jadira.usertype:usertype.core,true,false
org.apache.flink:flink-table-common,true,false
org.mule.modules:mule-module-spring-config,false,false
org.wso2.carbon.multitenancy:org.wso2.carbon.tenant.mgt,false,false
org.apache.jmeter:jorphan,true,true
org.apereo.cas:cas-server-core-tickets,true,true
org.apache.jmeter:ApacheJMeter_core,true,false
org.wso2.carbon.identity.inbound.auth.oauth2:org.wso2.carbon.identity.oauth.common,true,false
org.wso2.carbon.identity.governance:org.wso2.carbon.identity.governance,false,false
org.apache.hbase:hbase-logging,true,true
fr.inria.gforge.spoon:spoon-core,true,true
org.mule.modules:mule-module-builders,false,false
org.mule.modules:mule-module-annotations,false,false
org.apereo.cas:cas-server-core-logout-api,true,true
org.apache.flink:flink-scala_2.11,true,false
org.apache.openjpa:openjpa-lib,true,false
org.wso2.carbon.identity.inbound.auth.oauth2:org.wso2.carbon.identity.oauth,true,false
org.mule.runtime:mule-module-logging,true,false
org.apache.jmeter:ApacheJMeter_components,false,false
org.mule.modules:mule-module-client,false,false
org.apache.flink:flink-file-sink-common,true,false
io.zipkin.brave:brave-instrumentation-mongodb,true,false
io.zipkin.aws:brave-propagation-aws,true,false
org.springframework.cloud:spring-cloud-sleuth-brave,false,false
org.apache.hive:hive-cli,false,false
org.apache.camel:camel-jaxb,true,true
org.springframework.cloud:spring-cloud-sleuth-autoconfigure,false,false
org.infinispan:infinispan-query,true,false
org.infinispan:infinispan-lucene-directory,true,false
org.wso2.carbon.analytics-common:org.wso2.carbon.event.output.adapter.core,true,true
org.wso2.carbon.identity.event.handler.accountlock:org.wso2.carbon.identity.handler.event.account.lock,false,false
org.apereo.cas:cas-server-core-validation-api,true,true
org.mule.transports:mule-transport-tcp,false,false
org.mule.transports:mule-transport-vm,false,false
org.infinispan:infinispan-objectfilter,true,false
org.apache.jena:jena-sdb,false,false
org.apache.pulsar:pulsar-transaction-common,false,false
org.apereo.cas:cas-server-core-webflow,true,true
org.apache.pulsar:bouncy-castle-bc,false,false
org.apache.storm:storm-core,true,false
org.apache.rocketmq:rocketmq-client,true,false
co.paralleluniverse:quasar-core,true,true
org.apache.flink:flink-test-utils_2.11,true,true
org.apache.jena:jena-shacl,false,false
org.apache.hbase:hbase-mapreduce,true,true
io.zipkin.brave:brave-instrumentation-okhttp3,true,false
cn.hutool:hutool-log,true,false
org.apache.jena:jena-dboe-storage,false,false
org.eclipse.rdf4j:rdf4j-sail-solr,false,false
org.eclipse.rdf4j:rdf4j-sail-elasticsearch,false,true
org.mule.modules:mule-module-management,false,false
org.cometd.java:cometd-java-common,false,false
org.mule.runtime:mule-module-artifact,false,false
org.mule.transports:mule-transport-ssl,false,false
com.couchbase.client:core-io,true,false
io.smallrye.reactive:smallrye-reactive-streams-operators,true,true
org.apache.flink:flink-streaming-scala_2.11,true,true
org.apache.pulsar:pulsar-client,false,false
org.mule.transports:mule-transport-http,false,false
org.apache.hive:hive-llap-server,false,false
org.infinispan:infinispan-directory-provider,true,false
com.linkedin.pegasus:data,false,false
org.apache.pulsar:pulsar-client-admin-api,false,false
org.apereo.cas:cas-server-support-throttle-core,true,true
org.apache.flink:flink-table-api-java-bridge_2.11,true,true
org.mule.runtime:mule-module-service,false,false
org.apache.flink:flink-table-api-java,true,true
com.hazelcast:hazelcast-spring,true,false
org.apache.axis2:axis2-saaj,true,false
org.apache.hive:hive-upgrade-acid,false,false
org.xmlresolver:xmlresolver,true,true
com.linkedin.pegasus:pegasus-common,false,false
org.apache.flink:flink-runtime,true,false
com.azure:azure-storage-common,true,false
org.cometd.java:bayeux-api,false,false
de.alpharogroup:silly-collections,true,true
org.mule.runtime:mule-core,false,false
net.lightbody.bmp:browsermob-core,true,false
com.alipay.sofa.common:sofa-common-tools,true,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.template.mgt,false,false
com.couchbase.client:java-client,false,false
org.apache.isis.core:isis-core-metamodel,false,true
net.lightbody.bmp:mitm,true,false
com.github.spotbugs:spotbugs,false,true
org.apache.camel:camel-xstream,true,true
org.apache.camel:camel-jetty-common,true,true
org.apache.camel:camel-groovy,true,true
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.multi.attribute.login.mgt,false,false
org.apache.hive.hcatalog:hive-hcatalog-core,false,false
org.ops4j.pax.web:pax-web-extender-war,false,false
org.ops4j.pax.web:pax-web-spi,false,false
org.apache.jmeter:ApacheJMeter_tcp,false,false
io.smallrye.reactive:smallrye-reactive-messaging-provider,false,true
org.mule.runtime:mule-service-soap-api,false,true
org.apache.flink:flink-connector-base,true,false
com.ctrip.framework.apollo:apollo-core,true,false
org.mule.transports:mule-transport-file,false,false
org.apache.dubbo:dubbo-common,true,false
com.ctrip.framework.apollo:apollo-client,true,false
org.apereo.cas:cas-server-core-validation,true,true
org.apache.flink:flink-streaming-java_2.12,true,true
org.mule.tests:mule-tests-unit,false,false
org.apache.jmeter:ApacheJMeter_http,false,false
org.mule.modules:mule-module-scripting,false,false
org.cometd.java:cometd-java-client,false,true
org.apache.pulsar:buildtools,true,false
org.springframework.data:spring-data-elasticsearch,true,false
org.apache.hbase:hbase-asyncfs,true,true
de.alpharogroup:file-worker,true,true
org.daisy.libs:com.xmlcalabash,true,true
org.mule.transports:mule-transport-jms,false,false
org.apache.solr:solr-analysis-extras,true,false
de.alpharogroup:jcommons-lang,true,true
org.mule.modules:mule-module-spring-extras,false,false
org.daisy.pipeline:common-utils,false,false
com.linkedin.pegasus:r2-core,false,false
org.apache.isis.core:isis-core-runtime,false,true
org.apereo.cas:cas-server-support-ldap-core,true,true
io.etcd:jetcd-core,true,true
com.gitlab.cdc-java.util:cdc-util-core,true,true
org.apache.jmeter:ApacheJMeter,true,true
org.apache.jmeter:ApacheJMeter_java,false,false
org.apache.flink:flink-runtime_2.12,true,false
org.apache.camel:camel-ftp,true,true
org.ops4j.pax.web:pax-web-runtime,false,false
org.camunda.bpm.dmn:camunda-engine-feel-scala,true,true
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl,false,true
org.apache.jena:jena-cmds,false,false
org.kie.workbench.services:kie-wb-common-services-backend,false,true
org.daisy.pipeline:xproc-api,false,false
org.apache.flink:flink-connector-files,true,false
org.infinispan:infinispan-cdi-embedded,true,false
org.mule.transports:mule-transport-quartz,false,false
org.mule.transports:mule-transport-email,false,false
org.mule.runtime:mule-module-container,false,false
org.mule.runtime:mule-module-reboot,false,false
org.mule.transports:mule-transport-servlet,false,false
org.daisy.pipeline:framework-core,false,false
org.apache.chemistry.opencmis:chemistry-opencmis-server-support,true,false
org.mule.runtime:mule-module-deployment-model,false,false
org.mule.modules:mule-module-spring-security,false,false
com.cedarsoftware:json-io,false,false
org.ops4j.pax.web:pax-web-extender-whiteboard,false,false
org.apereo.cas:cas-server-core,true,true
org.apache.chemistry.opencmis:chemistry-opencmis-client-bindings,true,false
org.mule.runtime:mule-module-extensions-support,false,false
org.infinispan:infinispan-cdi-common,true,false
org.apache.chemistry.opencmis:chemistry-opencmis-server-bindings,true,false
org.mule.modules:mule-module-cxf,false,false
org.mule.runtime:mule-module-spring-config,false,false
org.kie.workbench.services:kie-wb-common-refactoring-backend,false,true
org.apereo.cas:cas-server-support-jpa-util,true,true
org.mule.transports:mule-transport-jdbc,false,false
com.linkedin.pegasus:li-jersey-uri,false,false
org.apache.solr:solr-test-framework,true,false
org.apache.isis.core:isis-core-security,false,true
org.apache.flink:flink-optimizer,true,false
org.opencms:opencms-core,true,false
org.daisy.pipeline:xmlcatalog,false,false
de.alpharogroup:test-objects,false,true
com.linkedin.pegasus:data-transform,false,false
org.apache.jmeter:ApacheJMeter_config,true,true
org.mule.runtime:mule-module-extensions-soap-support,false,true
org.cometd.java:cometd-java-server,false,true
org.camunda.feel:feel-engine,true,false
org.daisy.pipeline:modules-registry,false,false
org.apache.metamodel:MetaModel-jdbc,false,false
org.apache.servicecomb:foundation-common,false,false
org.apache.chemistry.opencmis:chemistry-opencmis-client-impl,true,false
org.apereo.cas:cas-server-core-logout,true,true
org.apache.camel:camel-josql,true,false
org.infinispan:infinispan-commons-test,true,false
org.apereo.cas:cas-server-core-audit-api,true,true
org.seqdoop:hadoop-bam,false,false
org.mule.transports:mule-transport-ftp,false,false
com.linkedin.pegasus:restli-common,false,false
org.apache.pulsar:pulsar-common,false,false
org.infinispan:infinispan-jboss-marshalling,true,false
org.daisy.pipeline:calabash-adapter,false,false
com.linkedin.pegasus:r2-disruptor,false,false
org.apache.pulsar:pulsar-functions-api,false,false
org.apache.camel:camel-stream,true,true
org.scala-sbt:util-logging_2.12,true,true
org.apache.hive:hive-standalone-metastore,false,false
org.mule.runtime:mule-module-tls,false,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt,false,false
com.jamonapi:jamon,true,false
com.linkedin.pegasus:multipart-mime,false,false
org.apache.flink:flink-table-api-scala-bridge_2.11,true,true
io.zipkin.brave:brave-core,true,false
com.azure:azure-storage-blob,true,false
org.apereo.cas:cas-server-core-events,true,true
org.mule.runtime:mule-module-extensions-spring-support,false,false
org.kie.workbench.widgets:kie-wb-common-ui,false,true
org.apache.flink:flink-clients_2.12,true,false
org.infinispan:infinispan-cachestore-leveldb,true,false
org.apache.jmeter:ApacheJMeter_functions,false,false
org.apache.camel:camel-netty4,true,false
org.apache.camel:camel-jetty9,true,false
org.mule.modules:mule-module-json,false,false
org.uberfire:uberfire-structure-backend,false,true
org.apereo.cas:cas-server-support-person-directory,true,true
com.linkedin.pegasus:restli-client,false,false
org.apache.camel:camel-amqp,true,true
org.wso2.carbon.deployment:org.wso2.carbon.service.mgt,false,false
com.monitorjbl:xlsx-streamer,true,false
org.apache.jmeter:ApacheJMeter_jdbc,false,false
org.apache.pulsar:bouncy-castle-bc-shaded,false,false
org.openimaj:core-aop-support,true,false
org.apache.camel:camel-mail,true,true
com.linkedin.pegasus:r2-filter-compression,false,false
org.openimaj:core-citation,false,false
com.linkedin.pegasus:restli-disruptor,false,false
com.linkedin.pegasus:r2-netty,false,false
org.ops4j.pax.jdbc:pax-jdbc-config,false,false
org.infinispan:infinispan-multimap,true,false
org.ops4j.pax.jdbc:pax-jdbc-derby,false,false
